CS 1101,Introduction to Program Design,0,0,0
CS 2102,Object-Oriented Design Concepts,0,1,0,CS 1101
CS 2303,Systems Programming Concepts,0,1,0,CS 2102
CS 2022,Discrete Mathematics,0,0,0
CS 3043,Social Implications of Information Processing,4,0,0
CS 2223,Algorithms,0,2,0,CS 2022,CS 2102
CS 2011,Introduction to Machine Organization and Assembly Language,0,1,0,CS 2303
CS 3013,Operating Systems,1,1,1,CS 2303,CS 2011
CS 3516,Computer Networks,0,1,1,CS 2303,CS 3013
CS 4120,Analysis of Algorithms,2,1,1,CS 2223,MA 2621
CS 3133,Foundations of Computer Science,2,2,0,CS 2223,CS 2022
CS 4341,Introduction To Artificial Intelligence,0,3,0,CS 3133,CS 2102,CS 2223
CS 4342,Machine Learning,0,4,1,MA 1024,MA 2071,CS 2223,MA 2621,CS 4341
CS 3431,Database Systems I,3,2,0,CS 2022,CS 2102
CS 3041,Human-Computer Interation,3,1,0,CS 2102
CS 3733,Software Engineering,3,1,0,CS 2102
CS 4233,Object-Oriented Analysis and Design,3,2,0,CS 2303,CS 3733
CS 4401,Software Security Engineering,0,3,0,CS 3013,CS 3733,CS 4241
CS 4032,Numerical Methods for Linear and Nonlinear Systems,0,1,0,MA 2071
CS 4033,Numerical Methods for Calculus and Differential Equations,0,1,0,MA 2051
CS 4241,Webware: Computation Technology For Network Information Systems,0,2,0,CS 2102,CS 3013
CS 4404,Tools and Techniques in Computer Network Security,0,2,0,CS 3013,CS 3516
CS 4432,Database Systems II,0,2,0,CS 3431,CS 3733
CS 4433,Big Data Management and Analytics,0,1,0,CS 4432
CS 4445,Data Mining and Knowledge Discovery in Databases,0,4,0,MA 2611,CS 2223,CS 3431,CS 3733
CS 4518,Distributed Computing Systems,1,3,0,CS 3013,CS 3516,CS 2303
CS 4518,Mobile & Ubiquitous Computing,0,1,2,CS 2102,CS 3013,CS 3516
CS 4533,Techniques of Programming Language Translation,2,2,0,CS 2102,CS 3133
CS 4731,Computer Graphics,0,3,0,CS 2223,CS 2303,MA 2071
CS 4801,Introduction to Cryptography and Communication Security,0,1,1,CS 2303,CS 2022
CS 4803,Biological and Biomedical Database Mining,0,4,0,CS 2102,CS 2223,MA 2611,BB 1001
MA 2071,Matrices and Linear Algebra I,-1,0,0
MA 1021,Calculus I,-1,0,0
MA 1022,Calculus II,-1,1,0,MA 1021
MA 1023,Calculus III,-1,1,0,MA 1022
MA 1024,Calculus IV,-1,1,0,MA 1023
MA 2051,Ordinary Differential Equations,-1,1,0,MA 1024
MA 2621,Probability For Applications,5,1,0,MA 1024
MA 2611,Applied Statistics I,5,1,0,MA 1022
BB 1001,Introduction to Biology,-1,0,0